Command_Name,Supported functions and syntax
avg,avg(X)
count,count(X)
distinct_count,distinct_count(X)
estdc,estdc(X)
estdc_error,estdc_error(X)
max,max(X)
mean,mean(X)
median,median(X)
min,min(X)
mode,mode(X)
percentile,percentile<X>(Y)
range,range(X)
stdev,stdev(X)
stdevp,stdevp(X)
sum,sum(X)
sumsq,sumsq(X)
var,var(X)
varp,varp(X)
first,first(X)
last,last(X)
list,list(X)
values,values(X)
earliest,earliest(X)
earliest_time,earliest_time(X)
latest,latest(X)
latest_time,latest_time(X)
per_day,per_day(X)
per_hour,per_hour(X)
per_minute,per_minute(X)
per_second,per_second(X)
rate,rate(X)
